City,System Type,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Unalaska,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Upper Kalskag,Wells/Gravity,30,0,0,26700,8478,20200,0,0,FALSE,FALSE
Valdez,Pressure/Gravity,0,0,0,0,0,0,0,0,FALSE,FALSE
Venetie,Washeteria,,,,,,,,,FALSE,FALSE
Voznesenka,Pressure/ST/DF,,,,,,,,,FALSE,FALSE
Wainwright,Circulating/Gravity,14501,0,0,262230.3601,0,0,0,0,FALSE,FALSE
Wales,Washeteria,,,,,,,,,FALSE,FALSE
Whale Pass,None,,,,,,,,,FALSE,FALSE
White Mountain,Circulating/Gravity,,,,,,,,,FALSE,FALSE
Whittier,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Womens Bay,,,,,,,,,,FALSE,FALSE
Wrangell,Pressure/Gravity,,,,,,,,,FALSE,FALSE
Yakutat,Pressure/Gravity,0,0,0,0,0,0,0,0,FALSE,FALSE
