City,System Type,Year,SQFT,HF Used,HF w/Retro,kWh/yr,kWh/yr w/ retro,Implementation Cost,HR gallons,Steam District,HR Installed,Biomass
Shaktoolik,Circulating/ST/DF,2010,4224,25029.67153,407,80988.362,37637,326222,0,0,FALSE,FALSE
Shishmaref,Closed Haul/Closed Haul,2010,1728,8125,7352,29512,23776,,,,FALSE,FALSE
Shungnak,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Sitka,Pressure/Gravity,2010,17100,11562.0438,,474844.2736,,,0,0,FALSE,FALSE
Skagway,Pressure/Gravity,2010,9100,7665.635036,,145441.309,,,0,0,FALSE,FALSE
Slana,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Sleetmute,Circulating/ST/DF,2010,693,4333.094891,182,51103.24216,21515,125700,0,0,FALSE,FALSE
South Naknek,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Stebbins,Washeteria,2010,,,,,,,,,FALSE,FALSE
Stevens Village,Washeteria,2010,,,,,,,,,TRUE,FALSE
Stony River,Washeteria,2010,,,,,,,,,FALSE,FALSE
Takotna,Watering Point,2010,,,,,,,,,FALSE,FALSE
Tanacross,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Tanana,Circulating/Gravity,2010,3000,,,,,,,,FALSE,TRUE
Tatitlek,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Tazlina,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Teller,Washeteria,2010,3039,7716,6981,35529,817,23100,0,0,FALSE,FALSE
Tenakee Springs,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Tetlin,Closed Haul/Closed Haul,2010,,,,,,,,,FALSE,FALSE
Thorne Bay,Pressure/Gravity,2010,1300,,,,,,,,FALSE,FALSE
Togiak,Pressure/Gravity,2010,,,,,,,,,FALSE,FALSE
Tok,Circulating/Gravity,2010,,,,,,,,,FALSE,FALSE
Toksook Bay,Circulating/Gravity,2010,354,2694,1918,109786,78413,14320,0,0,TRUE,FALSE
Tonsina,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Trapper Creek,Wells/ST/DF,2010,,,,,,,,,FALSE,FALSE
Tuluksak,Washeteria,2010,1800,6255,4012,34664,31954,20650,0,0,FALSE,FALSE
Tuntutuliak,Closed Haul/Closed Haul,2010,2240,14629.32847,1083,17702.5476,11146,311025,0,0,FALSE,FALSE
Tununak,Washeteria,2010,2048,2174,1815,37367,28294,29123,0,0,FALSE,FALSE
